"hgnc_symbol","ensembl_gene_id","description","external_gene_name","gene_biotype","chromosome_name","affy_hg_u133_plus_2"
"ZRANB1","ENSG00000019995","zinc finger RANBP2-type containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]","ZRANB1","protein_coding","10","225131_at"
"NUP54","ENSG00000138750","nucleoporin 54 [Source:HGNC Symbol;Acc:HGNC:17359]","NUP54","protein_coding","4","218256_s_at"
"GLUL","ENSG00000135821","glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]","GLUL","protein_coding","1","215001_s_at"
"B4GALT5","ENSG00000158470","beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]","B4GALT5","protein_coding","20","221484_at"
"ZNF24","ENSG00000172466","zinc finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13032]","ZNF24","protein_coding","18","212534_at"
"ADH1B","ENSG00000196616","alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]","ADH1B","protein_coding","4","209613_s_at"
"HMBS","ENSG00000256269","hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]","HMBS","protein_coding","11",""
"ADRB2","ENSG00000169252","adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]","ADRB2","protein_coding","5","206170_at"
"SIMC1","ENSG00000170085","SUMO interacting motifs containing 1 [Source:HGNC Symbol;Acc:HGNC:24779]","SIMC1","protein_coding","5","232309_at"
"CCNG1","ENSG00000113328","cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]","CCNG1","protein_coding","5",""
"PKN2","ENSG00000065243","protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]","PKN2","protein_coding","1","210969_at"
"BEX4","ENSG00000102409","brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]","BEX4","protein_coding","X","215440_s_at"
"LETMD1","ENSG00000050426","LETM1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24241]","LETMD1","protein_coding","12",""
"ITPRIPL2","ENSG00000205730","ITPRIP like 2 [Source:HGNC Symbol;Acc:HGNC:27257]","ITPRIPL2","protein_coding","16","227954_at"
"HMGXB4","ENSG00000100281","HMG-box containing 4 [Source:HGNC Symbol;Acc:HGNC:5003]","HMGXB4","protein_coding","22","212596_s_at"
"PPP3R1","ENSG00000221823","protein phosphatase 3 regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]","PPP3R1","protein_coding","2","204506_at"
"COPS2","ENSG00000166200","COP9 signalosome subunit 2 [Source:HGNC Symbol;Acc:HGNC:30747]","COPS2","protein_coding","15",""
"SNRNP27","ENSG00000124380","small nuclear ribonucleoprotein U4/U6.U5 subunit 27 [Source:HGNC Symbol;Acc:HGNC:30240]","SNRNP27","protein_coding","2","212438_at"
"C5orf22","ENSG00000082213","chromosome 5 open reading frame 22 [Source:HGNC Symbol;Acc:HGNC:25639]","C5orf22","protein_coding","5","203738_at"
"BAMBI","ENSG00000095739","BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]","BAMBI","protein_coding","10","203304_at"
"TMCC1","ENSG00000172765","transmembrane and coiled-coil domain family 1 [Source:HGNC Symbol;Acc:HGNC:29116]","TMCC1","protein_coding","3","213352_at"
"C18orf21","ENSG00000141428","chromosome 18 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:28802]","C18orf21","protein_coding","18","223526_at"
"ING1","ENSG00000153487","inhibitor of growth family member 1 [Source:HGNC Symbol;Acc:HGNC:6062]","ING1","protein_coding","13","209808_x_at"
"MCOLN3","ENSG00000055732","mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]","MCOLN3","protein_coding","1","220484_at"
"ACVR1C","ENSG00000123612","activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]","ACVR1C","protein_coding","2","1552519_at"
"FAM118B","ENSG00000197798","family with sequence similarity 118 member B [Source:HGNC Symbol;Acc:HGNC:26110]","FAM118B","protein_coding","11","223386_at"
"KLHL24","ENSG00000114796","kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]","KLHL24","protein_coding","3","242088_at"
"ATR","ENSG00000175054","ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]","ATR","protein_coding","3","209902_at"
NA,NA,NA,NA,NA,NA,NA
"MRPL10","ENSG00000159111","mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]","MRPL10","protein_coding","17","224671_at"
"SLC35G2","ENSG00000168917","solute carrier family 35 member G2 [Source:HGNC Symbol;Acc:HGNC:28480]","SLC35G2","protein_coding","3","1559494_at"
"HBP1","ENSG00000283847","HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:23200]","HBP1","protein_coding","CHR_HG2266_PATCH","209102_s_at"
"HADHA","ENSG00000084754","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]","HADHA","protein_coding","2","208629_s_at"
"CLU","ENSG00000120885","clusterin [Source:HGNC Symbol;Acc:HGNC:2095]","CLU","protein_coding","8","208792_s_at"
"MESP1","ENSG00000166823","mesoderm posterior bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:29658]","MESP1","protein_coding","15","229195_at"
"KLHDC2","ENSG00000165516","kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]","KLHDC2","protein_coding","14","217906_at"
"CCNG2","ENSG00000138764","cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]","CCNG2","protein_coding","4","202769_at"
"TACC1","ENSG00000147526","transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]","TACC1","protein_coding","8","200911_s_at"
"ALDH6A1","ENSG00000119711","aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]","ALDH6A1","protein_coding","14","204290_s_at"
"YPEL5","ENSG00000119801","yippee like 5 [Source:HGNC Symbol;Acc:HGNC:18329]","YPEL5","protein_coding","2","222408_s_at"
"STK24","ENSG00000102572","serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]","STK24","protein_coding","13","1562425_at"
"C5orf51","ENSG00000205765","chromosome 5 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:27750]","C5orf51","protein_coding","5",""
"EAPP","ENSG00000129518","E2F associated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:19312]","EAPP","protein_coding","14","202623_at"
"BPHL","ENSG00000137274","biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]","BPHL","protein_coding","6","205750_at"
"ECI1","ENSG00000167969","enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]","ECI1","protein_coding","16","209759_s_at"
"RCBTB2","ENSG00000136161","RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914]","RCBTB2","protein_coding","13","204759_at"
"RASSF9","ENSG00000198774","Ras association domain family member 9 [Source:HGNC Symbol;Acc:HGNC:15739]","RASSF9","protein_coding","12","210335_at"
"SRSF4","ENSG00000116350","serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]","SRSF4","protein_coding","1","201696_at"
"LRRC47","ENSG00000130764","leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]","LRRC47","protein_coding","1","212904_at"
"CD248","ENSG00000174807","CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219]","CD248","protein_coding","11","219025_at"
"RNF144A","ENSG00000151692","ring finger protein 144A [Source:HGNC Symbol;Acc:HGNC:20457]","RNF144A","protein_coding","2","204040_at"
"CA3","ENSG00000164879","carbonic anhydrase 3 [Source:HGNC Symbol;Acc:HGNC:1374]","CA3","protein_coding","8",""
"ANG","ENSG00000214274","angiogenin [Source:HGNC Symbol;Acc:HGNC:483]","ANG","protein_coding","14","205141_at"
"ARID4A","ENSG00000032219","AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]","ARID4A","protein_coding","14","230141_at"
"ELF2","ENSG00000109381","E74 like ETS transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3317]","ELF2","protein_coding","4",""
"USP25","ENSG00000155313","ubiquitin specific peptidase 25 [Source:HGNC Symbol;Acc:HGNC:12624]","USP25","protein_coding","21","220419_s_at"
"PALLD","ENSG00000129116","palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]","PALLD","protein_coding","4","200906_s_at"
"IGFBP3","ENSG00000146674","insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]","IGFBP3","protein_coding","7","212143_s_at"
"GINS3","ENSG00000181938","GINS complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25851]","GINS3","protein_coding","16",""
"MRPS30","ENSG00000112996","mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]","MRPS30","protein_coding","5","218398_at"
"MPDZ","ENSG00000107186","multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208]","MPDZ","protein_coding","9","213306_at"
"OSBPL1A","ENSG00000141447","oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]","OSBPL1A","protein_coding","18","208158_s_at"
"PCM1","ENSG00000078674","pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]","PCM1","protein_coding","8","214118_x_at"
"NEXN","ENSG00000162614","nexilin F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:29557]","NEXN","protein_coding","1",""
"UGGT1","ENSG00000136731","UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]","UGGT1","protein_coding","2",""
"GPHN","ENSG00000171723","gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]","GPHN","protein_coding","14","220773_s_at"
"HYI","ENSG00000178922","hydroxypyruvate isomerase (putative) [Source:HGNC Symbol;Acc:HGNC:26948]","HYI","protein_coding","1","223622_s_at"
"FMNL2","ENSG00000157827","formin like 2 [Source:HGNC Symbol;Acc:HGNC:18267]","FMNL2","protein_coding","2","226184_at"
NA,NA,NA,NA,NA,NA,NA
"SLC22A5","ENSG00000197375","solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]","SLC22A5","protein_coding","5","205074_at"
"HYOU1","ENSG00000280682","hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]","HYOU1","protein_coding","CHR_HG2217_PATCH","200825_s_at"
"SMARCA4","ENSG00000127616","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]","SMARCA4","protein_coding","19","212520_s_at"
NA,NA,NA,NA,NA,NA,NA
"SIRT1","ENSG00000096717","sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]","SIRT1","protein_coding","10","218878_s_at"
"BNIP1","ENSG00000113734","BCL2 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1082]","BNIP1","protein_coding","5","207829_s_at"
"MBD3","ENSG00000071655","methyl-CpG binding domain protein 3 [Source:HGNC Symbol;Acc:HGNC:6918]","MBD3","protein_coding","19","41160_at"
"PLEKHO2","ENSG00000241839","pleckstrin homology domain containing O2 [Source:HGNC Symbol;Acc:HGNC:30026]","PLEKHO2","protein_coding","15","204436_at"
"CCDC28A","ENSG00000024862","coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:HGNC:21098]","CCDC28A","protein_coding","6","209479_at"
"LIAS","ENSG00000121897","lipoic acid synthetase [Source:HGNC Symbol;Acc:HGNC:16429]","LIAS","protein_coding","4",""
"SLC25A6","ENSG00000169100","solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]","SLC25A6","protein_coding","X","212826_s_at"
"SCAI","ENSG00000173611","suppressor of cancer cell invasion [Source:HGNC Symbol;Acc:HGNC:26709]","SCAI","protein_coding","9","228174_at"
"HECTD1","ENSG00000092148","HECT domain E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20157]","HECTD1","protein_coding","14","1557100_s_at"
"DAPK2","ENSG00000035664","death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]","DAPK2","protein_coding","15","215184_at"
NA,NA,NA,NA,NA,NA,NA
"INSR","ENSG00000171105","insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]","INSR","protein_coding","19","213792_s_at"
"PHLDA2","ENSG00000274538","pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]","PHLDA2","protein_coding","CHR_HSCHR11_1_CTG7","209803_s_at"
"GPD1L","ENSG00000152642","glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]","GPD1L","protein_coding","3",""
"RAI2","ENSG00000131831","retinoic acid induced 2 [Source:HGNC Symbol;Acc:HGNC:9835]","RAI2","protein_coding","X","219440_at"
"PSMG2","ENSG00000128789","proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]","PSMG2","protein_coding","18",""
"FAM98A","ENSG00000119812","family with sequence similarity 98 member A [Source:HGNC Symbol;Acc:HGNC:24520]","FAM98A","protein_coding","2","212333_at"
"SUCLG2","ENSG00000172340","succinate-CoA ligase GDP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11450]","SUCLG2","protein_coding","3",""
"ANKHD1","ENSG00000131503","ankyrin repeat and KH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24714]","ANKHD1","protein_coding","5","219081_at"
"SCRN2","ENSG00000141295","secernin 2 [Source:HGNC Symbol;Acc:HGNC:30381]","SCRN2","protein_coding","17","228730_s_at"
"PRKAR2B","ENSG00000284096","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]","PRKAR2B","protein_coding","CHR_HG2266_PATCH","203680_at"
"TGDS","ENSG00000088451","TDP-glucose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:20324]","TGDS","protein_coding","13","208249_s_at"
"MAP3K5","ENSG00000197442","mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]","MAP3K5","protein_coding","6","203836_s_at"
"RNF130","ENSG00000113269","ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]","RNF130","protein_coding","5","232192_at"
"HDDC2","ENSG00000111906","HD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21078]","HDDC2","protein_coding","6",""
"MAPRE2","ENSG00000166974","microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]","MAPRE2","protein_coding","18","211556_at"
"AKAP9","ENSG00000127914","A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]","AKAP9","protein_coding","7","210962_s_at"
"TUBB2B","ENSG00000137285","tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]","TUBB2B","protein_coding","6","213476_x_at"
"UBP1","ENSG00000153560","upstream binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12507]","UBP1","protein_coding","3","218082_s_at"
"TMEM243","ENSG00000135185","transmembrane protein 243 [Source:HGNC Symbol;Acc:HGNC:21707]","TMEM243","protein_coding","7","204215_at"
"ACP6","ENSG00000162836","acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]","ACP6","protein_coding","1","242270_at"
"METAP2","ENSG00000111142","methionyl aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:16672]","METAP2","protein_coding","12","209861_s_at"
"NPEPPS","ENSG00000141279","aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]","NPEPPS","protein_coding","17",""
"ECHDC2","ENSG00000121310","enoyl-CoA hydratase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23408]","ECHDC2","protein_coding","1","218552_at"
"GPT2","ENSG00000166123","glutamic--pyruvic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:18062]","GPT2","protein_coding","16","224839_s_at"
"RP9","ENSG00000164610","RP9 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:10288]","RP9","protein_coding","7","227640_s_at"
"RPL11","ENSG00000142676","ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]","RPL11","protein_coding","1","200010_at"
"F13A1","ENSG00000124491","coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]","F13A1","protein_coding","6","203305_at"
"MRPL16","ENSG00000166902","mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:HGNC:14476]","MRPL16","protein_coding","11","217980_s_at"
"RCOR3","ENSG00000117625","REST corepressor 3 [Source:HGNC Symbol;Acc:HGNC:25594]","RCOR3","protein_coding","1",""
"AVPI1","ENSG00000119986","arginine vasopressin induced 1 [Source:HGNC Symbol;Acc:HGNC:30898]","AVPI1","protein_coding","10","218631_at"
"RGL1","ENSG00000143344","ral guanine nucleotide dissociation stimulator like 1 [Source:HGNC Symbol;Acc:HGNC:30281]","RGL1","protein_coding","1","209568_s_at"
"EEF2","ENSG00000167658","eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]","EEF2","protein_coding","19","200094_s_at"
"ABHD5","ENSG00000011198","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]","ABHD5","protein_coding","3","218739_at"
"GTF2E1","ENSG00000153767","general transcription factor IIE subunit 1 [Source:HGNC Symbol;Acc:HGNC:4650]","GTF2E1","protein_coding","3",""
"PTGR1","ENSG00000106853","prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]","PTGR1","protein_coding","9","228824_s_at"
